,Event Date,Event Type,Restoration,Number of Customers Affected,Area Affected,States,Event Category,Region
4006,2022-09-06 06:00:00,Suspicious Activity,2022-09-06 06:22:00,0,Texas: Cameron County;,Texas,Vandalism,Southern
4007,2022-09-06 10:34:00,System Operations,2022-09-06 21:00:00,0,California: Sacramento County;,California,System Operations,West
4008,2022-09-06 16:00:00,Severe Weather,2022-09-06 21:00:00,44000,California: Shasta County;,California,Severe Weather,West
4009,2022-09-06 19:20:00,System Operations,2022-09-06 21:01:00,,Idaho: Oregon:,Idaho,System Operations,West
4009,2022-09-06 19:20:00,System Operations,2022-09-06 21:01:00,,Idaho: Oregon:,Oregon,System Operations,West
4010,2022-09-06 17:00:00,System Operations,2022-09-06 20:00:00,1300000,"Nevada: Clark County, Washoe County;",Nevada,System Operations,West
4011,2022-09-07 13:45:00,Cyber Event,2022-09-07 19:00:00,0,Florida: Alachua County;,Florida,Other,Southern
4012,2022-09-07 11:31:00,System Operations,2022-09-07 21:00:00,0,California: Sacramento County;,California,System Operations,West
4013,2022-09-07 13:00:00,Vandalism,,0,California: Imperial County;,California,Vandalism,West
4014,2022-09-07 17:00:00,System Operations,2022-09-07 20:00:00,1300000,"Nevada: Clark County, Washoe County;",Nevada,System Operations,West
4015,2022-09-07 16:00:00,Severe Weather,2022-09-07 21:00:00,44000,California: Shasta County;,California,Severe Weather,West
4016,2022-09-08 10:52:00,System Operations,2022-09-09 21:00:00,0,California: Sacramento County;,California,System Operations,West
4017,2022-09-08 11:54:00,Severe Weather,2022-09-08 21:00:00,44000,California: Shasta County;,California,Severe Weather,West
4018,2022-09-08 17:00:00,System Operations,2022-09-08 20:00:00,1300000,"Nevada: Clark County, Washoe County;",Nevada,System Operations,West
4019,2022-09-09 16:00:00,Severe Weather,2022-09-09 21:00:00,44000,California: Shasta County;,California,Severe Weather,West
4020,2022-09-10 22:30:00,Suspicious Activity,2022-09-10 22:31:00,,Indiana: Spencer County;,Indiana,Vandalism,MidWest
4021,2022-09-11 18:19:00,Transmission Interruption,2022-09-11 22:28:00,0,Texas: Fayette County;,Texas,Transmission Interruption,Southern
4022,2022-09-13 19:55:00,Severe Weather,2022-09-13 20:01:00,0,Texas: El Paso County;,Texas,Severe Weather,Southern
4023,2022-09-15 19:52:00,Transmission Interruption,2022-09-15 21:31:00,0,Texas: Fayette County;,Texas,Transmission Interruption,Southern
4024,2022-09-16 18:30:00,Transmission Interruption,2022-09-16 23:15:00,0,Oregon: Multnomah County; Washington: Clark County;,Oregon,Transmission Interruption,West
4024,2022-09-16 18:30:00,Transmission Interruption,2022-09-16 23:15:00,0,Oregon: Multnomah County; Washington: Clark County;,Washington,Transmission Interruption,West
4025,2022-09-16 18:00:00,Suspicious Activity,2022-09-16 18:01:00,0,Utah:,Utah,Vandalism,West
4026,2022-09-21 16:19:00,Vandalism,2022-09-21 18:01:00,1521,Texas: Louisiana: Arkansas: Jefferson County; Mississippi:,Arkansas,Vandalism,Other
4026,2022-09-21 16:19:00,Vandalism,2022-09-21 18:01:00,1521,Texas: Louisiana: Arkansas: Jefferson County; Mississippi:,Louisiana,Vandalism,Southern
4026,2022-09-21 16:19:00,Vandalism,2022-09-21 18:01:00,1521,Texas: Louisiana: Arkansas: Jefferson County; Mississippi:,Mississippi,Vandalism,Southern
4026,2022-09-21 16:19:00,Vandalism,2022-09-21 18:01:00,1521,Texas: Louisiana: Arkansas: Jefferson County; Mississippi:,Texas,Vandalism,Southern
4027,2022-09-22 03:58:00,Vandalism,2022-09-22 04:00:00,,"Florida: Pinellas County, Pasco County, Orange County, Lake County;",Florida,Vandalism,Southern
4028,2022-09-22 10:02:00,Vandalism,2022-09-22 11:00:00,0,California: Los Angeles County;,California,Vandalism,West
4029,2022-09-23 10:10:00,Vandalism,2022-09-23 11:00:00,0,California: Los Angeles County;,California,Vandalism,West
4030,2022-09-27 08:42:00,Vandalism,2022-09-27 10:00:00,0,California: Los Angeles County;,California,Vandalism,West
4031,2022-09-28 15:00:00,Severe Weather,2022-10-03 15:53:00,676000,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",Florida,Severe Weather,Southern
4032,2022-09-28 18:00:00,Severe Weather,2022-09-30 15:20:00,116937,Florida:,Florida,Severe Weather,Southern
4033,2022-09-28 15:00:00,Severe Weather,,291361,"Florida: Hillsborough County, Polk County, Pasco County, Pinellas County;",Florida,Severe Weather,Southern
4034,2022-09-29 04:00:00,Severe Weather,2022-10-03 00:00:00,0,"Florida: Orange County, Osceola County;",Florida,Severe Weather,Southern
4035,2022-09-29 03:27:00,Severe Weather,,15797,Florida: Polk County;,Florida,Severe Weather,Southern
4036,2022-09-30 18:30:00,Severe Weather,2022-10-01 18:36:00,154100,North Carolina: South Carolina:,North Carolina,Severe Weather,Southern
4036,2022-09-30 18:30:00,Severe Weather,2022-10-01 18:36:00,154100,North Carolina: South Carolina:,South Carolina,Severe Weather,Southern
4037,2022-09-30 13:46:00,Severe Weather,2022-09-30 18:09:00,108930,South Carolina:,South Carolina,Severe Weather,Southern
4038,2022-09-30 02:45:00,Severe Weather,2022-10-01 16:15:00,48323,North Carolina:,North Carolina,Severe Weather,Southern
4039,2022-09-30 11:00:00,Vandalism,2022-09-30 12:00:00,0,California: Los Angeles County;,California,Vandalism,West
4040,2022-10-03 06:00:00,Suspicious activity,2022-10-04 07:00:00,0,Alabama: Barbour County; Virginia:,Alabama,Vandalism,Southern
4040,2022-10-03 06:00:00,Suspicious activity,2022-10-04 07:00:00,0,Alabama: Barbour County; Virginia:,Virginia,Vandalism,Southern
